"_type","category","isi","judul"
"dict","finance","Jakarta - Para petinggi produsen pesawat Boeing akan mendatangi kantor PT Garuda Indonesia (Persero) Tbk besok, Kamis (28/3/2019) di Cengkareng, Banten. Kedatangan mereka untuk membahas pesanan pesawat Boeing.""Yes,"" kata Direktur Utama Garuda Indonesia IGN Askhara Danadiputra kepada detikFinance, Rabu (27/3/2019).Sebelumnya diberitakan, Garuda Indonesia telah membatalkan pemesanan unit pesawat Boeing 737 MAX 8. Jumlahnya mencapai 49 unit. Ari mengatakan kedatangan para petinggi Boeing salah satunya membahas hal tersebut. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); Baca juga: Demi Penumpang, Garuda Batalkan Pesanan Boeing 737 Max 8""Salah satu di antaranya,"" tambah pria yang akrab disapa Ari.Sebelumnya, Direktur Utama Garuda Indonesia, I Gusti Ngurah Askhara Danadiputra mengatakan bahwa pihaknya telah melakukan pembatalan pada pemesanan unit pesawat Boeing 737 MAX 8.Baca juga: 2017 Garuda Rugi Rp 3 T, Rini: 2018 Untung Hampir Rp 100 MPria yang juga akrab disapa Ari Ashkara mengatakan bahwa pihaknya pun sudah menyurati pihak Boeing untuk menghentikan pemesanan Boeing 737 MAX 8.""Kami sendiri sudah kirim surat ke McAllister (bos Boeing) kalau kami nyatakan untuk cancel 49 unit,"" ungkap Ari saat ditemui di Plaza Indonesia, Jakarta, Kamis (21/3/2019). (ara/hns) garuda indonesia boeing garuda ari ashkara dirut garuda boeing 737 max 8","Besok, Petinggi Boeing Sambangi Garuda Indonesia"
"dict","finance","Jakarta - Deputi Gubernur Senior Bank Indonesia (BI) Mirza Adityaswara menyebut mengunduh alias download game berbayar buatan asing bisa bikin neraca pembayaran Indonesia (NPI) defisit. Pasalnya tiap transaksi pembelian game tersebut akan membawa aliran uang dari Indonesia keluar.""Kalau main game itu keliatan nggak di neraca pembayaran Indonesia? mudah-mudahan kelihatan. Yang pasti itu uang Indonesia yang keluar,"" katanya pada diskusi dalam acara Peluncuran Buku Laporan Perekonomian Indonesia 2018 di Gedung BI, Jakarta Pusat, Rabu (27/3/2019).Harga game yang dijual secara online mungkin memang tidak terlalu mahal. Mirza mencontohkan harga game di kisaran US$ 0,5 alias setengah dolar. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); Namun yang perlu diingat, berapa banyak orang yang melakukan pembelian game yang diproduksi oleh negara lain itu. Jika yang mengunduh game berbayar itu mencapai jutaan orang, tentu secara total jumlahnya tidak sedikit uang yang mengalir ke luar negeri.""Untuk gamenya setengah dolar, tapi kalau yang main 2 juta orang, ya itu uang keluar untuk games itu,"" paparnya.Baca juga: GoPay dan OVO Kian Melesat, BI: Perbankan KalahTerkait hal tersebut, diharapkan game-game buatan anak bangsa bisa diproduksi sehingga Indonesia tak bergantung pada game buatan asing.""Bisa nggak kita bikin game Indonesia, teman-teman di ITB, ITS, UGM buat game yang diproduksi anak-anak Indonesia. Jadi kalau itu bisa maka perlu skill, kalau mau lompat ke situ perlu skill,"" tambahnya.Sebagai informasi saja, neraca pembayaran Indonesia sepanjang 2018 tercatat mengalami defisit US$ 7,1 miliar. Padahal dari data Bank Indonesia (BI) periode 2017 NPI mencatatkan surplus US$ 11,6 miliar. Sejak 2015, NPI sudah defisit sebanyak 2 kali. Yakni pada 2015 NPI defisit sebesar US$ 1,1 miliar. Penyebab defisitnya NPI terjadi karena defisit transaksi berjalan yang lebih tinggi dibanding surplus transaksi modal dan finansial.Baca juga: RI Masih Tarik Utang Luar Negeri, BI: Dana Dalam Negeri Tak Cukup (fdl/fdl) bank indonesia bi game neraca dagang mirza adityaswara","Unduh Game Asing Berbayar Bisa Bikin Neraca Dagang Tekor"
"dict","sport","Jakarta - Conor McGregor memutuskan pensiun dari dunia tarung bebas setelah 11 tahun berkarier di UFC. Total 21 kemenangan dan uang lebih dari Rp 1 T berhasil dikumpulkannya.McGregor secara mengejutkan memutuskan berhenti dari kariernya sebagai petarung Mixed Martial Arts (MMA). Pria 30 tahun itu menyudahi sedekade lebih perjalanan kariernya di sana.Sebagai petarung, McGregor memang dikenal kontroversial dengan segala aksinya di dalam maupun luar ring. Tapi, tak ada yang menyanggah bahwa UFC menjadi tenar karena kehebatan McGregor. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945783791-0'); }); Berikut data dan fakta terkait karier McGregor di atas ring UFC seperti disarikan tim detikSport dalam infografis.Foto: Infografis Detiksport (mrp/mrp) conor mcgregor pensiun conor mcgregor infografis","Setelah 11 Tahun dan 21 Kemenangan, McGregor Undur Diri"
"dict","finance","Jakarta - Maskapai Sriwijaya Air terpaksa melayani check-in penumpang secara manual. Hal ini terjadi karena pengelola Bandara Soekarno Hatta memadamkan aliran listrik.""Saat ini listrik khusus untuk check in, tiba-tiba dimatikan dan tentunya pelayanan kepada penumpang sangat terhambat,"" kata Direktur Utama Sriwijaya Air Joseph Saul kepada detikFinance, Rabu (27/3/2019)Joseph menambahkan, pelayanan penumpang semuanya dilakukan secara manual termasuk bagasi. Hal ini menyebabkan sejumlah penerbangan Sriwijaya Air mengalami keterlambatan. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); Sriwijaya Air layani check-in manual karena listrik dipadamkan pengelola Bandara Soetta Foto: Dok. Sriwijaya Air""Semua flight kami melakukan check-in manual. Bahkan timbangan bagasi juga manual sehingga banyak flight yang terlambat bahkan bisa dibatalkan,"" kata Joseph.Joseph menambahkan, hal ini terjadi karena masih adanya kewajiban dari maskapai yang belum dipenuhi kepada pengelola Bandara Soetta, PT Angkasa Pura II (AP II) sebesar Rp 38 miliar. Sriwijaya Air sedang berupaya memenuhi kewajiban tersebut.""Utang kami ke AP II Rp 38 miliar dan saat kami sedang berusaha memperbaiki keuangan Sriwijaya Air Group,"" tutur Joseph.Sriwijaya Air layani check-in manual karena listrik dipadamkan pengelola Bandara Soetta Foto: Dok. Sriwijaya AirPerseroan mengaku mengalami kesulitan keuangan. Terlebih lagi ada rencana penurunan tiket pesawat.""Kami kesulitan sekali, apalagi rencana pemerintah akan menurunkan harga tiket,"" tambah Joseph.Sriwijaya Air layani check-in manual karena listrik dipadamkan pengelola Bandara Soetta Foto: Dok. Sriwijaya Air (ara/hns) sriwijaya air bandara soekarno hatta angkasa pura ii listrik padam","Sriwijaya Air Masih Ngutang Rp 38 M, Listrik Layanan Check-in Diputus"
"dict","hot","","Sophie Turner Bicara Pengalaman Seksnya Sebelum Tunangan dengan Joe Jonas"
"dict","sport","Bekasi - Kalteng Putra menghadapi Persija Jakarta di babak delapan besar Piala Presiden 2019. Pelatih Gomes de Oliviera melemparkan pujian kepada Macan Kemayooran. Kalteng menghadapi Persija di Stadion Patriot Candrabhaga, Bekasi, Kamis (28/3/2019). Laga itu menjadi laga hidup mati bagi kedua tim. Pelatih Kalteng Putra, Gomes de Oliviera, melemparkan bebas kepada Persija, yang tampil sebagai juara bertahan. Persija juga lolos ke babak delapan besar sebagai juara grup. Dia memprediksi pertandingan bakal sangat menyulitkan. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945694694-0'); }); Baca juga: Ladeni Kalteng Putra, Persija Tanpa Novri dan Sandi Sute""Saya sangat bangga berada disini. Untuk pertandingan lawan Persija, tidak ada lawan lebih baik melawan Persija, mereka tim besar yang juara kemarin, dan punya suporter yang istimewa, nah itu tentu istimewa,"" ujar Gomes di Stadion Patriot, Rabu (27/3/2019).Gomes pun sudah menyiapkan cara untuk bisa meladeni pemainan Persija. Meski lawan lebih diunggulkan, Kalteng bertekad tak mau mengecewakan masyarakat di Palangkaraya.""Kami akan main maksimal, melakukan yang terbaik dari masing masing pemain, dan kolektivitas yang diandalkan membangun tim baru tidak gampang tapi juga tidak susah,"" kata Gomes. ""Bekerja sama dengan orang yang mau, pemain mau saya pun siap, itu yang gampang. Saya lihat di Kalteng itu mereka mau, dan kami berjuang bersama-sama,"" ujar dia. ""Dan besok kami akan sekali lagi tunjukkan ke masyarakat kalau kita ini akan berjuang untuk jadi kebanggaan masyarakat Palangkaraya,"" dia menambahkan.Baca juga: Jadwal Perempatfinal Piala Presiden 2019: Dibuka Persija Vs Kalteng Putra (ads/fem) kalteng putra persija jakarta piala presiden 2019 delapan besar piala presiden 2019","Duel di Delapan Besar Piala Presiden, Kalteng Putra Lempar Beban Kepada Persija"
"dict","hot","","Tsania Marwa Pasrah Atalarik Syah Tak Hadiri Sidang Mediasi"
"dict","finance","","Bor Raksasa Kelar Dirakit, Terowongan Kereta Cepat Dibangun"
"dict","sport","Jakarta - Rencana mendatangkan Khabib Nurmagomedov di acara Fesitival Silat Dunia dipastikan batal. Juara kelas ringan Ultimate Fighting Championship (UFC) itu berhalangan hadir.Sebelumnya, muncul kabar Khabib dijadwalkan hadir dalam acara yang digelar di Padepokan Pencak Silat Taman Mini Indonesia Indah, 30 Maret mendatang. Khabib rencananya akan menggelar coaching clinic bersama pencak silat muda.Tapi Ketua Panitia Penyelenggara Festival Silat Dunia, Arko Murjoko baru mendapatkan kabar Khabib tak bisa memenuhi undangan tersebut. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535945783791-0'); }); Baca juga: McGregor Pensiun, Khabib: Hanya Ada Satu Raja""Update terkini Khabib batal datang,"" ujar Arko kepada detikSport, Rabu (27/3/2019).Pamor Nurmagomedo belakangan meningkat drastis. Itu setelah dia mengalahkan Conor McGregor yang jadi rivalnya Oktober lalu. Khabib sendiri memegang rekor tak pernah kalah dalam 27 laga.""Awalnya Nurmagomedov akan datang ke Indonesia untuk meramaikan Festival Silat Dunia. Kami mengundangnya karena Nurmagomedov merupakan sosok yang sedang diidolakan oleh anak-anak muda,"" sambung Arko.Baca juga: Pensiun, Kekayaan McGregor Beda Tipis dengan Ronaldo (ads/mrp) khabib nurmagomedov ufc pencak silat","Khabib Nurmagomedov Batal Datang ke Indonesia"
"dict","finance","Jakarta - Sriwijaya Air meminta maaf atas pemadaman listrik yang dilakukan oleh pengelola Bandara Soekarno-Hatta. Dengan pemadaman ini, semua pelayanan dilakukan secara manual. Vice President Corporate Secretary Sriwijaya Air Retri Maya menjelaskan, pemadaman ini diduga terkait adanya kewajiban Sriwijaya Air kepada PT Angkasa Pura II (Persero) selaku pengelola bandara. ""Sriwijaya Air Group memang memiliki kewajiban kepada AP II. Dan hingga saat ini kami sedang berupaya keras memperbaiki keuangan perusahaan serta dapat memenuhi seluruh kewajibannya,"" kata Maya dalam keterangan tertulis, Rabu (27/3/2019).Baca juga: Masih Ngutang Rp 38 M, Listrik Layanan Check-in Sriwijaya Air Diputus Maya menambahkan hingga saat ini kondisi keuangan Sriwijaya Air Group dinilai masih belum sehat. Hal tersebut diyakini karena tingginya biaya operasional dalam bisnis penerbangan saat ini. ""Kerjasama Operasi atau management dengan Garuda Indonesia Group menjadi poin penting untuk melakukan negosiasi dan re-strukturisasi kewajiban Sriwijaya Air Group pada pihak BUMN. Namun demikian hal ini tentu juga masih membutuhkan bantuan dari yang lainnya termasuk para pengelola bandara,"" terang Maya. ""Apalagi pemerintah berencana akan menurunkan harga tiket kembali. Hal tersebut tentu akan semakin menyulitkan kami,"" lanjutnya.Baca juga: Bantah Jadi Kartel Tiket Pesawat, Ini Penjelasan Bos Garuda Terkait pemadaman listrik ini, maka seluruh proses penerbangan Sriwijaya Air Group malam ini diyakini akan mengalami keterlambatan karena terjadi penumpukan di counter check in. Namun demikian pihak Sriwijaya Air Group berkomitmen untuk tetap melayani seluruh pelanggannya meski melalui proses manual. ""Untuk saat ini seluruh proses kita layani secara manual. Sekali lagi kami atas nama Sriwijaya Air Group mohon maaf kepada seluruh pelanggan kami,"" tutup Maya. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1535944306169-0'); }); (hns/hns) sriwijaya air bandara soekarno hatta soekarno hatta check-in","Listrik Layanan Check-in Diputus, Ini Penjelasan Sriwijaya Air"
