"_type","category","isi","judul"
"dict","properti","Wuhan Greenland Terancam Mangkrak, Tanda China Hadapi Resesi? - Salah sinyal khas negara sedang mengalami resesi    adalah mangkraknya pembangunan    supertinggi yang menelan banyak dana. Apakah China sedang menghadapi resesi? Faktanya, raksasa    Negeri Tirai Bambu ini, China Construction Third Engineering Bureau Co, telah melepas    pencakar langit tertinggi di negara itu setelah pengembangnya, Greenland Group,    melakukan pembayaran. Kegagalan tersebut menjadi sorotan yang saat ini dihadapi oleh perusahaan-perusahaan konstruksi China ketika ekonomi melambat. Mereka harus memangkas pendanaan sehingga membuat ledakan pembangunan pencakar langit yang sudah tak terkendali kini mengalami   . Dalam surat 30 Oktober yang diperlihatkan oleh   (FT), China Construction Third Engineering Bureau Co mengatakan akan menghentikan pembangunan Wuhan Greenland Center setinggi 475 meter tersebut. ""   pencakar langit super tinggi yang belum selesai ini menghabiskan banyak dana. Ini salah satu tanda khas resesi ekonomi,"" kata Yan Yuejin, seorang analis di Lembaga Penelitian dan Pengembangan China E-house yang berbasis di Shanghai. China melaporkan pertumbuhan ekonomi dari tahun ke tahun 6 persen pada kuartal ketiga, laju paling lambat dalam 30 tahun. Pengembang    lainnya yang kekurangan uang juga telah berjuang untuk mempertahankan proyek-proyek    tinggi mereka. Penelitian FT mengungkapkan bahwa pembangunan lebih dari selusin gedung pencakar langit yang sangat tinggi didefinisikan sebagai bangunan lebih tinggi dari 300 meter telah ditunda pembangunannya.","Wuhan Greenland Terancam Mangkrak, Tanda China Hadapi Resesi?"
"dict","otomotif","",""
"dict","www","Momen Tak Terlupakan Konser EXO di Jakarta, Ah Bikin Gagal Move On...  - Boyband Kpop    berhasil membayar kerinduan para penggemarnya, EXO-L di Indonesia, Sabtu (23/11/2019). EXO kali pertama menggelar konser di Indonesia pada 2014 yang bertajuk The Lost Planet in Jakarta. Boyband asuhan SM Entertainment itu terakhir kali melakukan konser di Indonesia pada Februari 2016 lewat The Lost Planet 2 The EXO'Luxion. Kini, meski hanya tampil dengan enam    ,   ,   ,   ,   , dan    tetap menampilkan penampilan terbaik mereka. Bahkan, mereka juga terlihat senang dengan terus mengembangkan senyum dan tawa dari awal hingga akhir konser. EXO juga tak pelit berinteraksi dan   kepada para penonton yang memadati lokasi konser, ICE BSD, Tangerang. Mereka membawakan sekitar 20 hits andalan mereka, seperti ""Tempo"", ""Growl"", ""Overdose"", ""Love Shot"", dan ""Call Me Baby"". Penampilan totalitas EXO didukung dengan kemegahan panggung, lighting, serta properti yang disediakan pihak penyelenggara, DyandraGlobal Edutainment. Banyak momen tak terlupakan selama konser EXO Planet #5   . Momen-momen manis yang ditunjukkan   EXO membuat EXO-L gagal  dari konser yang terselenggara selama 2,5 jam tersebut.","Momen Tak Terlupakan Konser EXO di Jakarta, Ah Bikin Gagal Move On..."
"dict","www","Cut Tari Siap Menikah dengan Richard Kevin  - Artis sekaligus presenter    siap melepas status jandanya. Cut Tari akan    dengan model dan aktor   .   Hal itu langsung disampaikan oleh kepala Kantor Urusan Agama (KUA) Pasar Minggu, TB. Zamroni pada Selasa (26/11/2019).   “Iya sudah daftar,” ujar TB. Zamroni.  Zamroni melanjutkan, Cut Tari mendaftarkan pernikahannya dengan mengutus pihak keluarga. Zamroni enggan memberitahukan siapa pihak keluarga yang mendaftarkan.   “Utusan keluarga. Saya enggak tahu representasi (keluarga) siapa (mendaftar) yang penting keluarga mendaftar. Dan ketika kita periksa berkasnya dalam proses pemeriksaan,” katanya.  Zamroni juga membenarkan mengenai sosok laki-laki yang bakal menikahi Cut Tari adalah Richard Kevin.  “Namanya Richard Kevin,” tuturnya. Zamroni menambahkan, Cut Tari dan Richard Kevin akan menikah pada 12 Desember 2019. Menurut Zamroni, lokasi pernikahan juga akan berlangsung di Pasar Minggu.","Cut Tari Siap Menikah dengan Richard Kevin"
"dict","properti","Grand Sentraland, Apartemen Murah Siap Huni di Koridor Timur Jakarta Koridor timur Jakarta, tampaknya makin diminati investor dan pengembang properti. Mereka meyakini, pembangunan infrastruktur yang demikian masif seperti Kereta Cepat Jakarta-Bandung, dan Tol Layang Jakarta-Cikampek membuat kawasan ini menjadi   untuk bisnis properti. Salah satu pengembang yang terpincut menggarap koridor timur Jakarta adalah Perum Perumnas.  Badan Usaha Milik Negara (  ) ini membangun Grand Sentraland di   , kawasan    yang diproyeksikan bakal melesat perkembangannya. “Karawang adalah    dengan perspektif yang berbeda. Karawang itu kawasan industri berteknologi dengan      ,” terang Project Manager Grand Sentraland Karawang, Iwan Risdianto, pada       di Indonesia Properti Expo (IPEX), Senayan, Sabtu (23/11/2019). Hal ini senada dikatakan Guru Besar Universitas Padjajaran Wahyudin yang juga membeli 11 unit    Grand Sentraland Karawang. Ia menuturkan, apartemen ini dikelilingi sejumlah fasilitas yang sudah jadi, dan infrastruitur yang tengah dikembangkan. “Tol Jakarta-Cikampek dekat dan juga dikelilingi dengan hotel berbintang. Di Karawang ini luar biasa, saya juga sering bertemu dengan orang Korea, banyak juga (orang Korea) yang tinggal disana,” ujar Wahyudin.    ini dibanderol mulai harga Rp 240 juta hingga Rp 480 jutaan, dengan promo asumsi bunga sebesar 4,5 persen dan  hingga 3 tahun. Terdapat empat tipe apartemen, Studio, Studio Premium, One Bedroom, serta Two Bedroom dengan    berupa Sertifikat Hak Milik Satuan Rumah Susun (SHMSRS). Saat ini, Grand Sentraland sudah terjual 70 persen dari 1.535 unit. Ini artinya hanya tersisa sebanyak 450 unit. Tak hanya itu, apartemen ini juga sudah siap huni.","Grand Sentraland, Apartemen Murah Siap Huni di Koridor Timur Jakarta"
"dict","travel","Kedai Es Bun Tin Pasar Lama Tangerang, Sajikan Es Bumi Hangus  Berkeliling kawasan      , rasanya tak lengkap jika tidak mencoba salah satu warung es legendaris di sini. Terletak tepat di seberang Klenteng Boen Tek Bio, warung Es Bun Tin jadi pilihan tepat untuk melepas dahaga kala cuaca panas.    terbilang sederhana tetapi menu kedai ini yang sebenarnya jadi daya tarik utama. Pasalnya, tersedia berbagai macam menu unik yang merupakan ciptaan pemilik kedai es ini sendiri, Lim Bun Tin. “Favorit di sini   , terus ada putsal, atau bumi hangus. Mau yang mana?” tanya Lim Bun Tin pada Kompas.com kala kedainya disambangi pada Jumat (22/11/2019). Nama-nama es di kedai tersebut memang berbeda. Dua yang menonjol adalah es putsal atau kependekan dari putri salju dan es bumi hangus. Untuk es putsal, dibuat dengan topping serba putih. Sementara es bumi hangus kebalikannya, topping yang serba hitam Saya yang sudah kehausan karena berkeliling pasar sejak tadi akhirnya menjatuhkan pilihan pada es bumi hangus. Es ini terdiri dari es serut yang ditata layaknya gunung, lalu diberi topping berupa kurma, buah naga, buah simanalagi, jelly, cincau hitam, dan terakhir disiram sirup susu coklat. Rasanya cukup menarik. Selain dingin dan segar dari es serutnya, ada juga tekstur menarik dari berbagai topping yang ada. Salah satu yang berbeda adalah adanya buah simanalagi yang terasa agak kecut. Es di    ini bisa dicampur sesuai keinginan pembeli. Pembeli hanya perlu memandu istri Lim Bun Tin yang bertugas meracik es, topping apa saja yang mau ditambahkan. Hal itu yang membuat es campur jadi favorit di kedai Es Bun Tin. Pembeli bisa mengatur rasa sesuai kesukaan mereka.","Kedai Es Bun Tin Pasar Lama Tangerang, Sajikan Es Bumi Hangus"
"dict","www","",""
"dict","bola","Cinta Terlarang Zidane dan Mbappe Jelang Real Madrid Vs PSG  -    kembali bertemu dengan Paris Saint Germain (PSG) di pentas Liga Champions. Mereka akan bertarung dalam laga penyisihan Grup A. Laga Real Madrid vs PSG bakal berlangsung pada Selasa (26/11/2019) atau Rabu dini hari WIB. Kali ini, Real Madrid berstatus tuan rumah. Tim ibu kota Spanyol tersebut akan menjamu PSG di Santiago Barnabeu. Pada laga sebelumnya, tim besutan    kalah 0-3 saat bertandang ke markas PSG di Parc des Princes, September 2019. Pertemuan kedua nanti diikuti dengan rumor penyerang muda PSG,   , yang bakal bergabung dengan Los Blancos, julukan Madrid. Pelatih Madrid, Zinedine Zidane, mengakui bahwa dia membutuhkan Mbappe untuk skuadnya. Isu perpindahan pemain asal Perancis itu juga semakin menguat pada bursa transfer Januari 2020. Sayang, bak cinta terlarang, saat ini Zidane tidak bisa memiliki Mbappe dan harus bertemu sebagai lawan. ""Anda tahu jika saya mengenal dia (Mbappe) sejak lama,"" kata Zidane seperti dilansir dari  . ""Saya sudah jatuh cinta dengan dia sejak pertama, karena dia sudah lama datang ke sini untuk  ,"" ungkap pelatih asal Perancis itu.","Cinta Terlarang Zidane dan Mbappe Jelang Real Madrid Vs PSG"
"dict","www","Hari Ini dalam Sejarah: Topan Nina Tewaskan 1.036 Jiwa  - Hari ini 31 tahun lalu, tepatnya 25 November 1987, Topan Nina, yang dikenal juga sebagai Topan Sisang di Filipina menghantam Pulau Luzon. Melansir laman RTE, Topan Nina tersebut memicu terjadinya badai raksasa dan tanah longsor Gunung Api Mayon yang memakan korban. Topan ini merupakan siklon tropis terkuat yang menghantam kepulauan dalam 6 tahun terakhir. Topan Nina menimbulkan kerusakan hebat terhadap infrastruktur, komunikasi, dan populasi. Akibat efek yang disebabkan, Topan Nina saat itu disebut sebagai topan paling mematikan pada musim topan Pasifik sepanjang tahun 1987. Nina mulai menjadi gangguan di dekat Pulau Marshall pada 16 November 1987. Topan Nina bergerak ke arah barat laut dan semakin menguat. Pada 20 November 1987, Topan Nina dinamakan sebagai badai tropis ketika menghantam   (dulunya  ). Badai ini menewaskan 4 orang dan ribuan orang lainnya kehilangan rumah. Nina menjadi topan sepenuhnya keesokan harinya dan melewati 70 mil (110 km) ke arah selatan Ulithi di Pulau Caroline. Kemudian, terdeteksi bergerak ke barat-barat laut selama lebih dari tiga hari setelahnya.","Hari Ini dalam Sejarah: Topan Nina Tewaskan 1.036 Jiwa"
"dict","www","Mulutmu, Harimaumu: Ketika Kata-kata Punya Kekuatan Besar  -  . Peribahasa ini sering kali dianggap mempunyai konotasi negatif bahwa setiap kata yang kita lontarkan bisa menyakiti orang lain. Meski begitu, peribahasa ini juga punya makna bahwa setiap kata punya kekuatan yang sangat besar efeknya bagi diri sendiri maupun orang lain. Efeknya bisa jadi buruk maupun baik. Ya, kata-kata memiliki banyak manfaat. Meskipun terlihat remeh, ada banyak manfaat mendalam yang dapat diperoleh dengan kata-kata. Salah satunya adalah untuk menyembuhkan. Memilih kata-kata yang tepat dalam situasi cemas dapat menenangkan seseorang. Misalnya, dengan mengingatkan seseorang bahwa mereka dicintai, dihormati, dan dihargai. Kata-kata penyembuh dapat memurnikan dari pikiran-pikiran negatif dan membawa seseorang menjadi lebih positif. Kata-kata penyembuhan dapat membawa kenyamanan dan menambah elemen positif pada lingkungan. Selain itu, juga dapat meningkatkan suasana hati seseorang yang berpengaruh dalam menjalani kehidupan sehari-hari. Melansir  , penelitian menunjukkan bahwa kekuatan kata-kata dapat mengubah hidup melalui proses-proses berikut: Penelitian ilmu saraf telah menunjukkan adanya efek yang kuat kata-kata bagi otak kita. Misalnya, secara sadar mengenali dan memberi label pada emosi (sedih, cemas, bingung) dan mengurangi aktivitas amigdala. Dengan memberi kata-kata pada emosi yang dialami, seseorang menjauhkan diri dari reaktivitas limbik. Selain itu, juga mengaktifkan bagian-bagian otak yang berhubungan dengan bahasa dan makna. Psikolog James Pennebaker mengungkapkan bahwa penggunaan kata-kata dalam pengungkapan diri dapat membantu penyembuhan psikologis seseorang.","Mulutmu, Harimaumu: Ketika Kata-kata Punya Kekuatan Besar"
