"_type","category","isi","judul"
"dict","tekno","Go-Jek Disebut Belum Berstatus ""Decacorn""   Selain itu, hasil riset CB Insight yang menyatakan bahwa valuasi    telah melampaui 10 miliar dollar AS juga memunculkan tanda tanya. Pasalnya, CB Insight sendiri tidak menjabarkan dengan jelas dari mana angka tersebut muncul. Sehingga, masih ada kemungkinan bahwa valuasi Go-Jek memang belum mencapai 10 millar dollar AS dan baru ""mendekati"" nilai tersebut.  Beberapa waktu lalu, Nila Marita, Chief of Corporate Affairs Go-Jek pun mengamini hal tersebut, dan ini memperkuat dugaan bahwa valuasi Go-Jek memang belum mencapai angka 10 miliar dollar AS. ","Go-Jek Disebut Belum Berstatus ""Decacorn"""
"dict","tekno","iPhone 5G Terancam Telat, Apple Beralih ke Huawei? Artinya, Intel tidak akan dapat mengirimkan modem dalam jumlah yang dibutuhkan   , tepat pada waktunya untuk peluncuran iPhone 5G pada 2020 mendatang.  Namun hal tersebut baru sebatas informasi dari sumber terdekat, baik Huawei maupun Apple sendiri tidak berkomentar atas kabar ini. ","iPhone 5G Terancam Telat, Apple Beralih ke Huawei?"
"dict","indeks","",""
"dict","properti","Tol Pandaan-Malang Batal Diresmikan Jumat Ini  Jalan    yang sedianya diresmikan, Jumat (12/4/2019), batal dilaksanakan. Hal ini karena Presiden Joko Widodo (Jokowi) yang semula dijadwalkan meresmikan, mendadak membatalkan kegiatan di Jawa Timur. Menurut Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) Basuki Hadimuljono, sedianya Seksi 1-3 dari Pandaan-Singosari sepanjang 30,55 kilometer sudah siap untuk diresmikan. “Harusnya Pak Presiden kan ke Malang untuk (menghadiri final) Piala Presiden itu. Mungkin karena ada acara lain, jadi itu tidak jadi diresmikan,” kata Basuki di kantornya, Jumat (12/4/2019) siang.  Ia mengaku, belum dapat memastikan kapan peresmian jalan tol yang akan dikelola PT Jasamarga Pandaan Malang tersebut akan dilaksanakan. Namun, bila memang akan dibuka fungsional guna mendukung kelancaran arus kendaraan dan logistik masyarakat, hal tersebut tidak dipersoalkan.  “Kalau mau dipakai menurut saya bisa dipakai saja. Sebenarnya tidak harus juga, peresmian itu kan hanya inagurasi,” ujarnya.  Adapun untuk tarif, Kepala Badan Pengatur Jalan Tol (BPJT) Danang Parikesit menyatakan, hingga kini belum ditentukan. BPJT sejauh ini baru menerima permohonan izin operasi dari badan usaha jalan tol (BUJT). “Rata-rata kan Rp 1.100 (per kilometer) kalau di Jawa timur kecuali Pasuruan- Probolinggo,” kata dia. Tol Pandaan-Malang memiliki panjang 38,488 kilometer dan terdiri dari lima seksi. Seksi 1 adalah Pandaan hingga Purwodadi sepanjang 15,475 kilometer. Lalu, Seksi 2 Purwodadi-Lawang sepanjang 8,05 kilometer; Seksi 3 Lawang-Singosari sepanjang 7,10 kilometer; Seksi 4 Singosari-Pakis sepanjang 4,75 kilometer; dan Seksi 5 Pakis-Malang sepanjang 3,11 kilometer. Setelah beroperasi, kehadiran jalan tol ini diharapkan menjadi bagian vital arus mobilisasi orang dan barang, serta mempercepat waktu tempuh dari Surabaya ke Malang dan sebaliknya.  ""Selama ini, perjalanan dari Surabaya ke Malang di masa libur bisa mencapai empat hingga enam jam. Dengan melalui jalan tol ini, waktu tempuhnya bisa kurang dari satu jam,"" ucap Direktur Utama PT Jasamarga Pandaan Malang (JPM), Agus Purnomo.    ","Tol Pandaan-Malang Batal Diresmikan Jumat Ini"
"dict","lifestyle","PERHATIAN : Cerita ini hanya fiktif belaka, bila ada persamaan nama, tempat, kejadian dan lain-hal lain itu hanya kebetulan belaka..... Salam Messlaip!		","Si Quvroy - Beli Bintang"
"dict","properti","Begini Rancangan Menara Keempat Marina Bay Sands  - Las Vegas Sands (LVS) mengumumkan rencana ekspansi    (MBS). Salah satunya adalah dengan membangun menara keempat MBS. Marina Bay Sands sendiri merupakan salah satu arsitektur ikonik terpopuler kedua setelah patung Merlion di negeri Singa itu. Dalam merancang bangunan keempat, pihak LVS telah menunjuk Studio Safdie Architects ditunjuk untuk merancang bangunan tersebut. Sebelumnya, firma ini juga telah menangani pembangunan ketiga gedung ikonik di Singapura. Dalam gambar rancangan yang dipublikasikan, menara keempat ini didesain terpisah dari tiga gedung lainnya. Selain itu, gedung keempat ini juga akan dilengkapi dengan teknologi mutakhir, fasilitas hotel mewah 1.000 kamar, dan ruang  ,  ,  , dan   (MICE). Terdapat taman atap, lengkap dengan koolam renang dan restoran. Sementara distrik hiburannya mencakup arena pertunjukan musik dengan kapasitas 15.000 kursi. Arena pertunjukan dimaksudkan untuk menarik pengunjung serta menjadi atraksi utama di Singapura. ""Marina Bay Sands adalah destinasi wisata ikonik yang melebihi harapan kami dalam mengembangkan kawasan wisata hiburan dan bisnis di Singapura,"" ujar Chairman dan CEO Las Vegas Sands, Sheldon G Andelson.","Begini Rancangan Menara Keempat Marina Bay Sands"
"dict","otomotif","",""
"dict","nasional","Kompas.com Tersertifikasi dalam Jaringan Internasional Penguji Informasi  —   secara resmi tersertifikasi dalam jaringan internasional penguji fakta ( ). Di dunia, selain  , baru ada 49 lembaga lain yang mendapat sertifikasi ini. ""Di era digital saat ini, masyarakat dihadapkan pada banjir informasi yang serba tidak pasti kebenarannya. Sertifikasi IFCN ini meneguhkan komitmen   yang selalu menguji setiap informasi untuk mencari dan menemukan kebenaran. Dengan upaya ini, hoaks yang marak dan menyamar sebagai informasi bisa dilawan,"" kata Pemimpin Redaksi   Wisnu Nugroho di Jakarta, Rabu (17/10/2018). Hampir setiap hari, Tim Hoaks atau Fakta   melakukan verifikasi dengan turun langsung ke lapangan dan menelusuri sumber-sumber yang kredibel untuk memastikan kebenaran sebuah informasi. Database Hoaks atau Fakta yang ditelusuri    . Bekerja sama dengan Turnbackhoax.id,   juga menerima laporan masyarakat atas sejumlah informasi yang ingin diverifikasi. Formulir laporan masyarakat   agar siapa pun bisa berpartisipasi.  Rubrik khusus ini pula yang menjadi salah satu pertimbangan IFCN memasukkan   sebagai jejaring lembaga penguji internasional. Pertimbangan lain yang dijadikan dasar adalah sikap   yang non-partisan, transparan dalam sumber pendanaan, dan selalu mengutip sumber-sumber yang kredibel untuk setiap beritanya. Di antara 49 lembaga yang tersertifikasi dalam jaringan internasional penguji fakta (IFCN - International Fact-Checking Network), ada lima lembaga dari Indonesia. Lima lembaga itu adalah  ,  ,  , dan Mafindo (turnbackhoax.id).","Kompas.com Tersertifikasi dalam Jaringan Internasional Penguji Informasi"
"dict","lifestyle","Cara Mengatasi Otot Betis yang Tegang  - Otot betis yang tegang dan menyakitkan mungkin kita rasakan setelah sesi kardio intensif, lari, atau olahraga tubuh bagian bawah.   Rasa sakit ini umumnya sangat mengganggu karena seringkali terjadi pada waktu yang cukup lama. Apalagi, betis adalah bagian dari kaki yang selalu digunakan untuk berjalan.  ""Sulit untuk mengistirahatkan kaki karena kita sering menggunakannya untuk berjalan,"" kata profesor dan direktur ilmu kesehatan fisik dan kesehatan olahraga di Stanford University, Michael Fredericson, MD.  Selain sangat mengganggu, rasa sakit karena otot betis yang tegang juga bisa menjadi masalah serius jika dibiarkan berlarut.  Lalu, apa solusinya?      Jika otot betismu terasa sakit, Mayer merekomendasikan   untuk seluruh betis dan tendon achilles (yang terletak di sepanjang betis bagian belakang menuju tumit).       Ini akan membuat sesi peregangan lebih efektif.  Fredericson merekomendasikan, jalan kaki dengan tumit,   dan gerakan   untuk meregangkan otot-otot pada betis.  Setelah melakukan peregangan dinamis, peregangan statis akan terasa lebih baik.  Mayer menyarankan untuk jalan berjinjit atau melangkah dengan mengangkat satu kaki untuk meregangkan bagian belakang betis. Tahan posisi tersebut selama 30-45 detik.   Kemudian, tekuk kakimu pada bagian lutut dan tahan lagi untuk meregangkan tendon achilles.  ""Gerakan itu akan mengenai otot berbeda pada betis,"" ujarnya.  Jika kamu mencari cara meredakan ketegangan otot betis lainnya, ada beberapa trik lain yang bisa kamu lakukan. Jika kamu masih mengalami sakit betis setelah beberapa hari setelah melakukan peregangan secara berhati-hati, cobalah berkonsultasi dengan dokter.  Mayer menyebutkan bahwa cedera punggung dan pinggang juga bisa berkontribusi terhadap sakit betis. Sehingga, kamu mungkin membutuhkan pemeriksaan secara holistik.","Cara Mengatasi Otot Betis yang Tegang"
"dict","sains","Jangan ke Luar Negeri Akhir Tahun Ini, Gerhana Matahari Cincin Bakal Sapa Indonesia  Tahun ini, 2019, warga Indonesia berkesempatan untuk menyaksikan fenomena langka,       cincin (GMC). Dalam siaran pers yang diterima Kompas.com dari Lembaga Penerbangan dan Antariksa Nasional (LAPAN), GMC akan terjadi pada tangga 26 Desember 2019. Sebagai informasi, fenomena    terjadi ketika    berada segaris dengan Bumi dan   , serta Bulan berada pada titik apogee (terjauh), piringan    akan tampak lebih kecil daripada piringan matahari hingga tidak menutupi seluruhnya. Kerucut umbra tidak sampai ke permukaan Bumi dan akan terbentuk kerucut tambahan yang disebut antumbra. ""Pengamat yang berada dalam wilayah antumbra akan melihat Matahari tampak seperti 'cincin' di langit. Inilah yang disebut   ,"" tulis siaran pers LAPAN. Tak hanya menjelaskan bagaimana gerhana pada Desember mendatang terbentuk, LAPAN juga memberikan daftar wilayah untuk bisa mengamati GMC. Menurut LAPAN, GMC dapat teramati dari wilayah Indonesia bagian barat; dan sebagian Kalimantan. Jalur gerhana akan mencakup beberapa area sebagai berikut: ? Sumatera Utara: Sibolga dan Padang Sidempuan. ? Riau: Siak, Duri, Pulau Pedang, Pulau Bengkalis, Pulau Tebing Tinggi, dan Pulau Rangsang. ? Kepulauan Riau: Batam dan Tanjung Pinang. ? Kalimantan Barat: Singkawang. ? Kalimantan Utara: Makulit dan Tanjung Selor. ? Kalimantan Timur: Berau. ""Titik greatest eclipse (GE), yaitu ketika sumbu bayangan Bulan berada paling dekat dengan pusat Bumi berada di tengah selat di dekat Pulau Pedang, tepatnya berada pada koordinat (1,0089° LU; 102,2465° BT), dengan durasi fase cincin selama 3 menit 39 detik,"" tulis LAPAN. Waktu terjadinya GMC pada 26 Desember 2019 pada titik GE (sekitar Pulau Pedang dan Kabupaten Siak), dengan rincian sebagai berikut. - Mulai    Sebagian 10.22 WIB - Mulai Gerhana Cincin 12.15 WIB - Puncak Gerhana Cincin 12.17 WIB - Gerhana Cincin Berakhir 12.19 WIB - Akhir gerhana sebagian 14.13 WIB","Jangan ke Luar Negeri Akhir Tahun Ini, Gerhana Matahari Cincin Bakal Sapa Indonesia"
