text_asli,removed_noise,removed_alay,removed_stopwords
"aku di level imun, mandi air dingin langsung biduran. cuci piring pake air dingin biduran :’) sungguh takut sama new normal ini.","aku di level imun, mandi air dingin langsung biduran. cuci piring pake air dingin biduran :’) sungguh takut sama ini.","aku di level imun, mandi air dingin langsung biduran. cuci piring pakai air dingin biduran :’) sungguh takut sama ini.","level imun , mandi air dingin langsung biduran . cuci piring pakai air dingin biduran :’) sungguh takut ."
"ak ga protes kalo masih ada yg harus kerja, itu tujuan new normal, i kno ga semua org seberuntung itu dengan ga kerja bisa bertahan hidup, tp yg bikin bingung, nongkrong..why.... new normal lebih diperuntukkan untuk org org yang butuh menafkahi keluarga, bukan nongkrong, woi","ak ga protes kalo masih ada yg harus kerja, itu tujuan normal, i kno ga semua org seberuntung itu dengan ga kerja bisa bertahan hidup, tp yg bikin bingung, nongkrong..why.... lebih diperuntukkan untuk org org yang butuh menafkahi keluarga, bukan nongkrong, woi","aku enggak protes kalo masih ada yang harus kerja, itu tujuan normal, i kno enggak semua orang seberuntung itu dengan enggak kerja bisa bertahan hidup, tapi yang bikin bingung, nongkrong..why.... lebih diperuntukkan untuk orang orang yang butuh menafkahi keluarga, bukan nongkrong, woi","protes kerja , tujuan , i kno orang seberuntung kerja bertahan hidup , bikin bingung , nongkrong .. why .... diperuntukkan orang orang butuh menafkahi keluarga , nongkrong , woi"
"hari kedua masa transisi new normal, sehari hanya empat bus beroperasi di tuban�� https://t.co/6sp9utqnww via @portalsurya","hari kedua masa transisi normal, sehari hanya empat bus beroperasi di tuban�� via","hari kedua masa transisi normal, sehari hanya empat bus beroperasi di tuban�� via","transisi , sehari bus beroperasi tuban � � via"
katanya udah new normal tapi hidup gue blm normal,katanya udah tapi hidup gue blm,katanya sudah tapi hidup gue belum,hidup
"menjalani new normal h-2

setelah kemarin full armor ampe kek mo mati.

gw termasuk orang yang beruntung, sama kantor disediain bis jemputan. so new normal is fine asal gw berangkat pagian dan pulang on time. so fuck off, extended meetings.

tapi tetep aja, banyak bgt hambatannya","menjalani h-2

setelah kemarin full armor ampe kek mo mati.

gw termasuk orang yang beruntung, sama kantor disediain bis jemputan. so is fine asal gw berangkat pagian dan pulang on time. so fuck off, extended meetings.

tapi tetep aja, banyak bgt hambatannya","menjalani h-2

setelah kemarin full armor sampai kayak mau mati.

gw termasuk orang yang beruntung, sama kantor disediain bis jemputan. sok is fine asal gue berangkat pagian dan pulang on time. sok fuck off, extended meetings.

tapi tetap aja, banyak banget hambatannya","menjalani h - 2 

 kemarin full armor mati . 

 orang beruntung , kantor disediain bis jemputan . sok is fine berangkat pagian pulang on time . sok fuck off , extended meetings . 

 , hambatannya"
mpr minta menhub jelaskan aturan transportasi menuju new normal https://t.co/xzqxogzhva lewat @idpontas,mpr minta menhub jelaskan aturan transportasi menuju lewat,mpr meminta menhub jelaskan aturan transportasi menuju lewat,mpr menhub aturan transportasi
"@baindra_ @crownclownx13 @widassatyo @pandji makanya keluar, mas/mbak.
di luar sana byk orang menganggap new normal = kondisi sudah kembali normal.
tidak semata2 orang keluar rumah u/ bekerja, tp memang sudah kebiasaannya aja keluar rumah &amp; kumpul2.
kalau kita sudah menjalani protokol, belum tentu di luar sana melakukan.","makanya keluar, mas/mbak.
di luar sana byk orang menganggap = kondisi sudah kembali normal.
tidak semata2 orang keluar rumah u/ bekerja, tp memang sudah kebiasaannya aja keluar rumah &amp; kumpul2.
kalau kita sudah menjalani protokol, belum tentu di luar sana melakukan.","makanya keluar, mas/mbak.
di luar sana banyak orang menganggap = kondisi sudah kembali normal.
tidak semata2 orang keluar rumah u/ bekerja, tapi memang sudah kebiasaannya saja keluar rumah &amp; kumpul2.
kalau kita sudah menjalani protokol, belum tentu di luar sana melakukan.",", mas / mbak . 
 orang menganggap = kondisi . 
 semata2 orang rumah u/ , kebiasaannya rumah & amp ; kumpul2 . 
 menjalani protokol , ."
"syahganda nainggolan: new normal indonesia anomali!
https://t.co/nzfzkstuig",syahganda nainggolan: indonesia,syahganda nainggolan: indonesia,syahganda nainggolan : indonesia
"bumn bersiap memasuki era new normal, termasuk jaringan hotel indonesia group. mau tahu bagaimana penerapan #newnormal di @highotels ? simak videonya di link berikut ya.

https://t.co/x5vv7txzd1","bumn bersiap memasuki era normal, termasuk jaringan hotel indonesia group. mau tahu bagaimana penerapan #newnormal di ? simak videonya di link berikut","bumn bersiap memasuki era normal, termasuk jaringan hotel indonesia group. mau tahu bagaimana penerapan #newnormal di ? simak videonya di link berikut","bumn memasuki era , jaringan hotel indonesia group . penerapan #newnormal ? simak videonya link"
@flurryys menuju new normal,menuju,menuju,
