text_asli,removed_noise,removed_alay,removed_stopwords
"yang hubungannya sering berantem gajelas, egois satu sama lain, sensitf kata. sabar kalian sedang di uji karna tidak bertemu selama lockdown. jadi tolong teruntuk para betina jangan sensian, aku tau kamu rindu jadi tolong ditahan dulu.
#toge","yang hubungannya sering berantem gajelas, egois satu sama lain, sensitf kata. sabar kalian sedang di uji karna tidak bertemu selama lockdown. jadi tolong teruntuk para betina jangan sensian, aku tau kamu rindu jadi tolong ditahan dulu.
#toge","yang hubungannya sering berantem gajelas, egois satu sama lain, sensitf kata. sabar kalian sedang di uji karena tidak bertemu selama lockdown. jadi tolong teruntuk para betina jangan sensian, aku tau kamu rindu jadi tolong ditahan dulu.
#toge","hubungannya berantem gajelas , egois , sensitf . sabar uji bertemu . tolong teruntuk betina sensian , tau rindu tolong ditahan . 
 #toge"
"downtime lebih menantang daripada lockdown 🤣
#walkyourpath","downtime lebih menantang daripada 🤣
#walkyourpath","downtime lebih menantang daripada 🤣
#walkyourpath","downtime menantang 🤣 
 #walkyourpath"
"@miskiy28 @yoeskenawas dalam keadaan lockdown, mereka justru gak boleh mengunjungi teman2nya mbak. mereka gak boleh ke kamar sebelah.
dormitory kan sekarang di lockdown total, ga kayak outside dormitory yg soft lockdown.
justru kalo gak di lockdown, mereka malah nulari teman2nya nanti.","dalam keadaan lockdown, mereka justru gak boleh mengunjungi teman2nya mbak. mereka gak boleh ke kamar sebelah.
dormitory kan sekarang di total, ga kayak outside dormitory yg soft lockdown.
justru kalo gak di lockdown, mereka malah nulari teman2nya nanti.","dalam keadaan lockdown, mereka justru enggak boleh mengunjungi teman2nya mbak. mereka enggak boleh ke kamar sebelah.
dormitory kan sekarang di total, enggak kayak outside dormitory yang soft lockdown.
justru kalo enggak di lockdown, mereka malah nulari teman2nya nanti.",", mengunjungi teman2nya mbak . kamar sebelah . 
 dormitory total , outside dormitory soft . 
 , nulari teman2nya ."
@carezarizky udah nikah dulu aja selak penghulune lockdown,udah nikah dulu aja selak penghulune,sudah nikah dulu saja selak penghulune,nikah selak penghulune
"@kuaijishi17 @yoeskenawas dr twit itu jd mikir, msl nih 1 org sdh kena tp blm ke-detect, trs krn lockdown kan ga bisa kemana2 akhirnya nulari ke temen2nya itu. nah krn ga bisa kemana2, trs tes jg blm nyampe ke sana, jd ga ke-detect, trs sakit parah, rame2, trs mati. ngeri jg ya.","dr twit itu jd mikir, msl nih 1 org sdh kena tp blm ke-detect, trs krn kan ga bisa kemana2 akhirnya nulari ke temen2nya itu. nah krn ga bisa kemana2, trs tes jg blm nyampe ke sana, jd ga ke-detect, trs sakit parah, rame2, trs mati. ngeri jg ya.","dari twit itu jadi mikir, msl nih 1 orang sudah kena tapi belum ke-detect, terus karena kan enggak bisa kemana2 akhirnya nulari ke temen2nya itu. nah karena enggak bisa kemana2, terus tes juga belum sampai ke sana, jadi enggak ke-detect, terus sakit parah, rame2, terus mati. ngeri juga ya.","twit mikir , msl 1 orang kena - detect , kemana2 nulari temen2nya . kemana2 , tes , - detect , sakit parah , rame2 , mati . ngeri ."
"@kyddipie lu mending lah gue pelaut , semua pelabuhan di lockdown . itu mah nggak seberapa","lu mending lah gue pelaut , semua pelabuhan di . itu mah nggak seberapa","lu mending lah gue pelaut , semua pelabuhan di . itu mah enggak seberapa","mending pelaut , pelabuhan ."
"@lponita subur, efek lockdown yaa buuu huhu","subur, efek yaa buuu huhu","subur, efek ya buuu huhu","subur , efek buuu huhu"
@widyaputriutamy @radenrauf ultahku saat lockdown😭,ultahku saat lockdown😭,ultahku saat lockdown😭,ultahku 😭
kita melihat banyak negara di barat menghentikan lockdown yang di terajui amerika. mereka saolah tidak menghirau wabak. kerajaan malaysia mesti menghentikan kunjungan warga mereka ke negara ini kecuali setiap individu punyai pengesahan free covid,kita melihat banyak negara di barat menghentikan yang di terajui amerika. mereka saolah tidak menghirau wabak. kerajaan malaysia mesti menghentikan kunjungan warga mereka ke negara ini kecuali setiap individu punyai pengesahan free covid,kita melihat banyak negara di barat menghentikan yang di terajui amerika. mereka saolah tidak menghirau wabak. kerajaan malaysia mesti menghentikan kunjungan warga mereka ke negara ini kecuali setiap individu punyai pengesahan free covid,negara barat menghentikan terajui amerika . saolah menghirau wabak . kerajaan malaysia mesti menghentikan kunjungan warga negara kecuali individu punyai pengesahan free covid
@salamahharahap kampung sombong gak lockdown ko. akses nya juga masih dibuka seperti biasa😂😂,kampung sombong gak ko. akses nya juga masih dibuka seperti biasa😂😂,kampung sombong enggak ko. akses nya juga masih dibuka seperti biasa😂😂,kampung sombong ko . akses dibuka 😂 😂
wkwkk lockdown tenan 🤣 https://t.co/fhiqrhy7re,wkwkk tenan 🤣,wkwkk tenan 🤣,wkwkk tenan 🤣
