text_asli,removed_noise,removed_alay,removed_stopwords
"presiden rusia, vladimir putin, mengatakan karantina wilayah atau lockdown akan dilonggarkan dan aktivitas bisnis akan kembali berfungsi, mulai selasa (12/05). padahal, rusia saat ini mencatat jumlah kasus virus corona terbanyak keempat di dunia. https://t.co/bnvpyrgmvw https://t.co/aa4cvrjcyv","presiden rusia, vladimir putin, mengatakan karantina wilayah atau akan dilonggarkan dan aktivitas bisnis akan kembali berfungsi, mulai selasa (12/05). padahal, rusia saat ini mencatat jumlah kasus virus corona terbanyak keempat di dunia.","presiden rusia, vladimir putin, mengatakan karantina wilayah atau akan dilonggarkan dan aktivitas bisnis akan kembali berfungsi, mulai selasa (12/05). padahal, rusia saat ini mencatat jumlah kasus virus corona terbanyak keempat di dunia.","presiden rusia , vladimir putin , karantina wilayah dilonggarkan aktivitas bisnis berfungsi , selasa ( 12 / 05 ) . , rusia mencatat virus corona keempat dunia ."
"mangkane ket awal lockdown sisan karo tengah sasi lak wis. mandek kerjo bareng2, ndang wis resik makaryo maneh bareng2. 

daripada lunyu ilate mencla mencle.  

https://t.co/qzpook8hl7","mangkane ket awal sisan karo tengah sasi lak wis. mandek kerjo bareng2, ndang wis resik makaryo maneh bareng2. daripada lunyu ilate mencla mencle.","mangkane ket awal sisan karo tengah sasi lak wis. mandek kerjo bareng2, ndang wis resik makaryo maneh bareng2. daripada lunyu ilate mencla mencle.","mangkane ket sisan karo sasi lak wis . mandek kerjo bareng2 , ndang wis resik makaryo maneh bareng2 . lunyu ilate mencla mencle ."
"kelamaan lockdown otak temenku juga jadi ikut kelockdown, pagi pagi ngakak banget dia masak buat sahur pake setrikaaaaa https://t.co/obd9pkwkal","kelamaan otak temenku juga jadi ikut kelockdown, pagi pagi ngakak banget dia masak buat sahur pake setrikaaaaa","kelamaan otak temenku juga jadi ikut kelockdown, pagi pagi mengakak banget dia masak buat sahur pakai setrikaaaaa","otak temenku kelockdown , pagi pagi mengakak masak sahur pakai setrikaaaaa"
"speechles di kata ((nikah teh ga enak teh, mamah aja kerja tetep di injek2 sama laki2))

gimana nih, mas? bang? kak? dek? woy?

hmm kalo gitu, tunggu adek kerja dulu yaa baru kita nikah. lagi lockdown ini. tp janji yaaa jg di injak2 nanti, kan bukan keset 😒 https://t.co/yapon7scb5","speechles di kata ((nikah teh ga enak teh, mamah aja kerja tetep di injek2 sama laki2))

gimana nih, mas? bang? kak? dek? woy?

hmm kalo gitu, tunggu adek kerja dulu yaa baru kita nikah. lagi ini. tp janji yaaa jg di injak2 nanti, kan bukan keset 😒","speechles di kata ((nikah teh enggak enak teh, mamah saja kerja tetap di injek2 sama laki2))

gimana nih, mas? bang? kak? dek? woy?

hmm kalo gitu, tunggu adek kerja dulu ya baru kita nikah. lagi ini. tapi janji ya juga di injak2 nanti, kan bukan keset 😒","speechles ( ( nikah teh enak teh , mamah kerja injek2 laki2 ) ) 

 gimana , mas ? bang ? kak ? dek ? woy ? 

 hmm gitu , tunggu adek kerja nikah . . janji injak2 , keset 😒"
"ini kacau banget sih kaya bocah banget, gak ikut puasa tapi ikut buka puasa, gak ikut lockdown tapi ikut-ikutan membuka lockdown.. ah parah banget.. ujungnya herd immunity ternyata, kenapa gak dari awal aja kalau begitu..","ini kacau banget sih kaya bocah banget, gak ikut puasa tapi ikut buka puasa, gak ikut tapi ikut-ikutan membuka lockdown.. ah parah banget.. ujungnya herd immunity ternyata, kenapa gak dari awal aja kalau begitu..","ini kacau banget sih kayak bocah banget, enggak ikut puasa tapi ikut buka puasa, enggak ikut tapi ikut-ikutan membuka lockdown.. ah parah banget.. ujungnya herd immunity ternyata, kenapa enggak dari awal saja kalau begitu..","kacau bocah , puasa buka puasa , ikut-ikutan membuka .. ah parah .. ujungnya herd immunity , .."
waduh! china lockdown satu kota baru karena covid-19 https://t.co/2e1jlvhzfr,waduh! china satu kota baru karena covid-19,waduh! china satu kota baru karena covid-19,! china kota covid - 19
@tyarscumbag @onedfess @sharmilalxndria terlalu lama lockdown aku takut mau ngedit harus syahadat lagi :(,terlalu lama aku takut mau ngedit harus syahadat lagi :(,terlalu lama aku takut mau ngedit harus syahadat lagi :(,takut ngedit syahadat :(
pelonggaran lockdown inggris jadi lampu hijau liga primer https://t.co/lxfwgcylc2,pelonggaran inggris jadi lampu hijau liga primer,pelonggaran inggris jadi lampu hijau liga primer,pelonggaran inggris lampu hijau liga primer
karena ini ekspor ikan layur tembus lockdown manca negara https://t.co/tqyp93funt,karena ini ekspor ikan layur tembus manca negara,karena ini ekspor ikan layur tembus manca negara,ekspor ikan layur tembus manca negara
imbauan who kepada negara-negara yang mengakhiri lockdown https://t.co/zxce1um4il,imbauan who kepada negara-negara yang mengakhiri,imbauan who kepada negara-negara yang mengakhiri,imbauan who negara-negara
