text_asli,removed_noise,removed_alay,removed_stopwords
@hiwps uangnya di lockdown,uangnya di,uangnya di,uangnya
rt @johanadhi: analisis lockdown dan karantina wilayah @aniesbaswedan @ganjarpranowo @ridwankamil @khofifahip @jokowi @hotradero @prastow @…,analisis dan karantina wilayah,analisis dan karantina wilayah,analisis karantina wilayah
rt @sindonews: lockdown telah selamatkan puluhan ribu orang di eropa https://t.co/rxxkisde74,telah selamatkan puluhan ribu orang di eropa,telah selamatkan puluhan ribu orang di eropa,selamatkan puluhan ribu orang eropa
@arnoldpoernomo gara gara lockdown otak anak twt gila semua termasuk dirikuuuu,gara gara otak anak twt gila semua termasuk dirikuuuu,gara gara otak anak twt gila semua termasuk dirikuuuu,gara gara otak anak twt gila dirikuuuu
"rt @dennysiregar7: maka beruntunglah kita presidennya adalah @jokowi yang berfikir matang2 dari banyak sisi, bukan cuma sisi virus saja, ta…","maka beruntunglah kita presidennya adalah yang berfikir matang2 dari banyak sisi, bukan cuma sisi virus saja, ta…","maka beruntunglah kita presidennya adalah yang berpikir matang2 dari banyak sisi, bukan cuma sisi virus saja, ta…","beruntunglah presidennya berpikir matang2 sisi , sisi virus , ta …"
rt @kompascom: bagaimana cara korea selatan menangani wabah corona dan meratakan kurva tanpa melakukan lockdown? simak penjelasannya di sin…,bagaimana cara korea selatan menangani wabah corona dan meratakan kurva tanpa melakukan lockdown? simak penjelasannya di sin…,bagaimana cara korea selatan menangani wabah corona dan meratakan kurva tanpa melakukan lockdown? simak penjelasannya di sin…,korea selatan menangani wabah corona meratakan kurva ? simak penjelasannya sin …
"rt @rahmatjanuardi4: akibat kelamaan lockdown..

#lockdowneffect https://t.co/wbxladskyo","akibat kelamaan lockdown..

#lockdowneffect","akibat kelamaan lockdown..

#lockdowneffect","akibat .. 

 #lockdowneffect"
"rt @arwidodo: kondisi lockdown akibat wabah virus corona, banyak pekerja harian dan keluarga mereka yang sangat terpukul. mereka akan sanga…","kondisi akibat wabah virus corona, banyak pekerja harian dan keluarga mereka yang sangat terpukul. mereka akan sanga…","kondisi akibat wabah virus corona, banyak pekerja harian dan keluarga mereka yang sangat terpukul. mereka akan sanga…","kondisi akibat wabah virus corona , pekerja harian keluarga terpukul . sanga …"
"lockdown membuat badan ini tambah melebar ajaaa😫😭😭
#lockdowneffect","membuat badan ini tambah melebar ajaaa😫😭😭
#lockdowneffect","membuat badan ini tambah melebar ajaaa😫😭😭
#lockdowneffect","badan melebar ajaaa 😫 😭 😭 
 #lockdowneffect"
rt @mediaindonesia: arab saudi yang merupakan negara dengan angka infeksi covid-19 terbayak di kawasan teluk tengah berusaha keras membatas…,arab saudi yang merupakan negara dengan angka infeksi covid-19 terbayak di kawasan teluk tengah berusaha keras membatas…,arab saudi yang merupakan negara dengan angka infeksi covid-19 terbayak di kawasan teluk tengah berusaha keras membatas…,arab saudi negara angka infeksi covid - 19 terbayak kawasan teluk berusaha keras membatas …
"unik. meskipun status darurat akan diumumkan, basisnya kedisiplinan diri, bukan lockdown, tdk ada denda bagi pelanggar status darurat. 
(republika 7/4) https://t.co/23ytzxtork","unik. meskipun status darurat akan diumumkan, basisnya kedisiplinan diri, bukan lockdown, tdk ada denda bagi pelanggar status darurat. (republika 7/4)","unik. meskipun status darurat akan diumumkan, basisnya kedisiplinan diri, bukan lockdown, tidak ada denda bagi pelanggar status darurat. (republika 7/4)","unik . status darurat diumumkan , basisnya kedisiplinan , , denda pelanggar status darurat . ( republika 7 / 4 )"
"rt @dennysiregar7: ada seorg teman, smp skrg msh sibuk teriak lockdown mulu 😄😄

malah dia nyuruh @jokowi lockdown smp 6 bulan, seolah lebih…","ada seorg teman, smp skrg msh sibuk teriak mulu 😄😄

malah dia nyuruh smp 6 bulan, seolah lebih…","ada seorang teman, sampai sekarang masih sibuk teriak mulu 😄😄

malah dia nyuruh sampai 6 bulan, seolah lebih…","teman , sibuk teriak mulu 😄 😄 

 nyuruh 6 , …"
"@reviiitan #revitangayuja bismillah, lockdown muka makin kusem, uang jajan menipis huhuhu :'","#revitangayuja bismillah, muka makin kusem, uang jajan menipis huhuhu :'","#revitangayuja bismillah, muka makin kusem, uang jajan menipis huhuhu :'","#revitangayuja bismillah , muka kusem , uang jajan menipis huhuhu : '"
hilangkan rasa suntuk...berendam ....continue lockdown.. https://t.co/qvxm1hovbi,hilangkan rasa suntuk...berendam ....continue lockdown..,hilangkan rasa suntuk...berendam ....continue lockdown..,hilangkan suntuk ... berendam .... continue ..
"jaga stamina selama di rumah dengan madu murni.
#madu #lockdowneffect  #lockdown https://t.co/3fajshyl3b","jaga stamina selama di rumah dengan madu murni.
#madu #lockdowneffect #lockdown","jaga stamina selama di rumah dengan madu murni.
#madu #lockdowneffect #lockdown","jaga stamina rumah madu murni . 
 #madu #lockdowneffect #lockdown"
"@dennysiregar7 @jokowi lockdown itu gampang perintahnya
dampaknya siapa yg harus menangani, juga pasca lockdown","itu gampang perintahnya
dampaknya siapa yg harus menangani, juga pasca","itu gampang perintahnya
dampaknya siapa yang harus menangani, juga pasca","gampang perintahnya 
 dampaknya menangani , pasca"
