text_asli,removed_noise,removed_alay,removed_stopwords
"mau lockdown job untuk sementara waktu.. cuma ngejob yang udah boking jauh"" harii","mau job untuk sementara waktu.. cuma ngejob yang udah boking jauh"" harii","mau job untuk sementara waktu.. cuma ngejob yang sudah boking jauh"" harii","job .. ngejob boking "" harii"
"@kiminaladekiru ini suamiku buat di malaysia, seminggu setelah ‘lockdown’ diberlakukan. latihan dikehidupan setelah ini #stayathome https://t.co/igv6na9pun","ini suamiku buat di malaysia, seminggu setelah ‘lockdown’ diberlakukan. latihan dikehidupan setelah ini #stayathome","ini suamiku buat di malaysia, seminggu setelah ‘lockdown’ diberlakukan. latihan dikehidupan setelah ini #stayathome","suamiku malaysia , seminggu ‘ ’ diberlakukan . latihan dikehidupan #stayathome"
@iyainbiargc sls lockdown sini mampir🤭,sls sini mampir🤭,sls sini mampir🤭,sls mampir 🤭
"jumat pagi sarapan indomie, siang sereal, malem telur, aman ga keluar rumah dan gatau mksd lockdown eta","jumat pagi sarapan indomie, siang sereal, malem telur, aman ga keluar rumah dan gatau mksd eta","jumat pagi sarapan indomie, siang sereal, malam telur, aman enggak keluar rumah dan enggak tau maksud eta","jumat pagi sarapan indomie , siang sereal , malam telur , aman rumah tau maksud eta"
akibat lockdown hutan dan sungai jd tempat rahasia km lagi,akibat hutan dan sungai jd tempat rahasia km lagi,akibat hutan dan sungai jadi tempat rahasia kamu lagi,akibat hutan sungai rahasia
"gawat, memasuki masa2 laper terus pas ni komplek lg di lockdown 😭","gawat, memasuki masa2 laper terus pas ni komplek lg di 😭","gawat, memasuki masa-masa laper terus pas nih komplek lagi di 😭","gawat , memasuki masa-masa laper pas komplek 😭"
"kisah bahtera nabi nuh.
#lockdown https://t.co/8g6xujiqlc","kisah bahtera nabi nuh.
#lockdown","kisah bahtera nabi nuh.
#lockdown","kisah bahtera nabi nuh . 
 #lockdown"
@idolfess ya ampun mau lockdown di zero base sama wannaone nya 😭,ya ampun mau di zero base sama wannaone nya 😭,ya ampun mau di zero base sama wannaone nya 😭,ampun zero base wannaone 😭
@master_powpou buat beli martabak dimakan bersama saat lockdown,buat beli martabak dimakan bersama saat,buat beli martabak dimakan bersama saat,beli martabak dimakan
"aaron ramsey khawatir bakal jadi gendut saat lockdown di italia berakhir

https://t.co/sfsbone2xd",aaron ramsey khawatir bakal jadi gendut saat di italia,aaron ramsey khawatir bakal jadi gendut saat di italia,aaron ramsey khawatir gendut italia
"@dqalz alamak sorry, masa tulis tu ingatkan jeddah dekat dengan mesir😅.

haa,update selalu dengan yb hisyamuddin, depa memang nak plan bawa balik semua pelajar malaysia. tapi sekarang fokus dekat negara yang totally lockdown macam india.","alamak sorry, masa tulis tu ingatkan jeddah dekat dengan mesir😅.

haa,update selalu dengan yb hisyamuddin, depa memang nak plan bawa balik semua pelajar malaysia. tapi sekarang fokus dekat negara yang totally macam india.","alamak sorry, masa tulis itu ingatkan jeddah dekat dengan mesir😅.

haa,update selalu dengan yb hisyamuddin, depa memang nak plan bawa balik semua pelajar malaysia. tapi sekarang fokus dekat negara yang totally macam india.","alamak sorry , tulis ingatkan jeddah mesir 😅 . 

 haa , update yb hisyamuddin , depa plan bawa pelajar malaysia . fokus negara totally india ."
arab saudi ‘lockdown’ 6 wilayah di madinah https://t.co/sc1cmppvxh via @arrahmahid  #news #arabsaudilockdown,arab saudi ‘lockdown’ 6 wilayah di madinah via #news #arabsaudilockdown,arab saudi ‘lockdown’ 6 wilayah di madinah via #news #arabsaudilockdown,arab saudi ‘ ’ 6 wilayah madinah via #news #arabsaudilockdown
@iam_yogaa @aiiiiiiiidaa @urprincesshihi @ohmybeautybank aku anak laju jadi lockdown ga lockdown tetep di rumah 😂,aku anak laju jadi ga tetep di rumah 😂,aku anak laju jadi enggak tetap di rumah 😂,anak laju rumah 😂
pernyataan menkes selandia baru yang akui dirinya 'idiot' setelah langgar aturan lockdown https://t.co/7hcihwysbd,pernyataan menkes selandia baru yang akui dirinya 'idiot' setelah langgar aturan,pernyataan menkes selandia baru yang akui dirinya 'idiot' setelah langgar aturan,pernyataan menkes selandia akui ' idiot ' langgar aturan
@oppmanz urang mah kondisi lockdown jadi wajar poho bulan poho tanggal 🤣,urang mah kondisi jadi wajar poho bulan poho tanggal 🤣,urang mah kondisi jadi wajar poho bulan poho tanggal 🤣,urang kondisi wajar poho poho tanggal 🤣
"hal2 yg sudah lockdown dalam diri ini sejak lama :

• kemiskinan
• insecure
• kurang percaya diri
• mager
• suka ngeluh

pengen bgt lockdown kebahagiaan biar bisa haha hihi","hal2 yg sudah dalam diri ini sejak lama :

• kemiskinan
• insecure
• kurang percaya diri
• mager
• suka ngeluh

pengen bgt kebahagiaan biar bisa haha hihi","hal-hal yang sudah dalam diri ini sejak lama :

• kemiskinan
• insecure
• kurang percaya diri
• mager
• suka ngeluh

pengen banget kebahagiaan biar bisa haha hihi","hal-hal : 

 • kemiskinan 
 • insecure 
 • percaya 
 • mager 
 • suka ngeluh 

 pengen kebahagiaan biar haha hihi"
"lockdown = tetap dirumah
""bukan nutupin portal""
#lockdownbukannutupportal #lbnp","= tetap dirumah
""bukan nutupin portal""
#lockdownbukannutupportal #lbnp","= tetap dirumah
""bukan menutupi portal""
#lockdownbukannutupportal #lbnp","= dirumah 
 "" menutupi portal "" 
 #lockdownbukannutupportal #lbnp"
wonosobo jadi bener-bener dingin lagi gara2 lockdown🙏💙☁️,wonosobo jadi bener-bener dingin lagi gara2 lockdown🙏💙☁️,wonosobo jadi bener-bener dingin lagi gara-gara lockdown🙏💙☁️,wonosobo bener - bener dingin gara-gara 🙏 💙 ☁ ️
