text_asli,removed_noise,removed_alay,removed_stopwords
rt @501awani: kenapa indonesia tidak 'lockdown' atau laksanakan perintah kawalan pergerakan? #awaninews #hapuscovid19 https://t.co/xncmfzpl…,kenapa tidak 'lockdown' atau laksanakan perintah kawalan pergerakan? #awaninews #hapuscovid19,kenapa tidak 'lockdown' atau laksanakan perintah kawalan pergerakan? #awaninews #hapuscovid19,' ' laksanakan perintah kawalan pergerakan ? #awaninews #hapuscovid19
"rt @arwidodo: indahnya berbagi di kala musibah, muslimah di thailand ini berbagi makanan siap saji kepada khalayak ramai, kebanyakan bukan…","indahnya berbagi di kala musibah, muslimah di thailand ini berbagi makanan siap saji kepada khalayak ramai, kebanyakan bukan…","indahnya berbagi di kala musibah, muslimah di thailand ini berbagi makanan siap saji kepada khalayak ramai, kebanyakan bukan…","indahnya berbagi musibah , muslimah thailand berbagi makanan saji khalayak ramai , kebanyakan …"
rt @senawangtv: keadaan di selangor mansion &amp; malayan mansion di jalan masjid india kene lockdown sebab ada 15 kes positif jangkitan covid1…,keadaan di selangor mansion &amp; malayan mansion di jalan masjid india kene sebab ada 15 kes positif jangkitan covid1…,keadaan di selangor mansion &amp; malayan mansion di jalan masjid india kene sebab ada 15 kes positif jangkitan covid1…,selangor mansion & amp ; malayan mansion jalan masjid india kene 15 kes positif jangkitan covid1 …
"aku hanya mnjlankan janji. jika sudah tak peduli, aku yg akan pergi untuk mengakhiri. 

#lockdown","aku hanya mnjlankan janji. jika sudah tak peduli, aku yg akan pergi untuk mengakhiri. #lockdown","aku hanya mnjlankan janji. jika sudah tak peduli, aku yang akan pergi untuk mengakhiri. #lockdown","mnjlankan janji . peduli , pergi . #lockdown"
"gak mau lockdown dari awal alesannya perekonomian. yang sosial distancing lah, physical distancing lah, psbb lah.
kalo sampe berbulan bulan dan masih banyak yg keluyuran sana sini, bisa lama kelarnya nih pandemi corona, perekonomian juga bisa tambah rusak. jadi, sama aja..","gak mau dari awal alesannya perekonomian. yang sosial distancing lah, physical distancing lah, psbb lah.
kalo sampe berbulan bulan dan masih banyak yg keluyuran sana sini, bisa lama kelarnya nih pandemi corona, perekonomian juga bisa tambah rusak. jadi, sama aja..","enggak mau dari awal alesannya perekonomian. yang sosial distancing lah, physical distancing lah, psbb lah.
kalo sampai berbulan bulan dan masih banyak yang keluyuran sana sini, bisa lama kelarnya nih pandemi corona, perekonomian juga bisa tambah rusak. jadi, sama aja..","alesannya perekonomian . sosial distancing , physical distancing , psbb . 
 berbulan keluyuran , kelarnya pandemi corona , perekonomian rusak . , .."
"rt @tribunnews: mulai jumat 10 april psbb berlaku di jakarta, bagaimana peraturannya? apa bedanya dengan lockdown? https://t.co/tg0rrztjxw…","mulai jumat 10 april psbb berlaku di jakarta, bagaimana peraturannya? apa bedanya dengan lockdown?","mulai jumat 10 april psbb berlaku di jakarta, bagaimana peraturannya? apa bedanya dengan lockdown?","jumat 10 april psbb berlaku jakarta , peraturannya ? bedanya ?"
rt @partijon_gl: banyak masyarakat indonesia posisi spt dibawah. masihkah bicara lockdown https://t.co/qk0s5bh7te,banyak masyarakat posisi spt dibawah. masihkah bicara,banyak masyarakat posisi seperti dibawah. masihkah bicara,masyarakat posisi dibawah . bicara
@reginaviancaaa jadi serba salah kan? mau jalan di lockdown mau ngemall di larang apa apa gaboleh,jadi serba salah kan? mau jalan di mau ngemall di larang apa apa gaboleh,jadi serba salah kan? mau jalan di mau ngemall di larang apa apa gaboleh,serba salah ? jalan ngemall larang gaboleh
"rt @dennysiregar7: ada seorg teman, smp skrg msh sibuk teriak lockdown mulu 😄😄

malah dia nyuruh @jokowi lockdown smp 6 bulan, seolah lebih…","ada seorg teman, smp skrg msh sibuk teriak mulu 😄😄

malah dia nyuruh smp 6 bulan, seolah lebih…","ada seorang teman, sampai sekarang masih sibuk teriak mulu 😄😄

malah dia nyuruh sampai 6 bulan, seolah lebih…","teman , sibuk teriak mulu 😄 😄 

 nyuruh 6 , …"
"mulai jumat 10 april psbb berlaku di jakarta, bagaimana peraturannya? apa bedanya dengan lockdown? https://t.co/tg0rrztjxw via @tribunnews","mulai jumat 10 april psbb berlaku di jakarta, bagaimana peraturannya? apa bedanya dengan lockdown? via","mulai jumat 10 april psbb berlaku di jakarta, bagaimana peraturannya? apa bedanya dengan lockdown? via","jumat 10 april psbb berlaku jakarta , peraturannya ? bedanya ? via"
[foto] – perancis tambah masa perpanjangan lockdown https://t.co/srjiynihwe https://t.co/s6chdxvmdh,[foto] – perancis tambah masa perpanjangan,[foto] – perancis tambah masa perpanjangan,[ foto ] – perancis perpanjangan
"lockdown diharapkan turunkan wabah corona, dolar turun terhadap mata uang berisiko https://t.co/iiodekrhua","diharapkan turunkan wabah corona, dolar turun terhadap mata uang berisiko","diharapkan turunkan wabah corona, dolar turun terhadap mata uang berisiko","diharapkan turunkan wabah corona , dolar turun mata uang berisiko"
"udh banyak big sale ramadhan tp duit masi di lockdown.
pliss nyari duit tp tetep dirumah gmn caranya? nyepet?🙃","udh banyak big sale ramadhan tp duit masi di lockdown.
pliss nyari duit tp tetep dirumah gmn caranya? nyepet?🙃","sudah banyak big sale ramadhan tapi duit masih di lockdown.
pliss mencari duit tapi tetap dirumah bagaimana caranya? nyepet?🙃","big sale ramadhan duit . 
 pliss mencari duit dirumah ? nyepet ? 🙃"
desa sebelah katanya mau di lockdown soalnya udah 3 yg kena covid :(,desa sebelah katanya mau di soalnya udah 3 yg kena covid :(,desa sebelah katanya mau di soalnya sudah 3 yang kena covid :(,desa sebelah 3 kena covid :(
@medcom_id bayangin. baru dilarang angkut penumpang seperti ini. apalagi kalau lockdown sepenuhnya?,bayangin. baru dilarang angkut penumpang seperti ini. apalagi kalau sepenuhnya?,bayangin. baru dilarang angkut penumpang seperti ini. apalagi kalau sepenuhnya?,bayangin . dilarang angkut penumpang . sepenuhnya ?
"jalan kita memang sama, berasumsi untuk maju namun seketika lockdown lah yang membuat kita salah tingkah.","jalan kita memang sama, berasumsi untuk maju namun seketika lah yang membuat kita salah tingkah.","jalan kita memang sama, berasumsi untuk maju namun seketika lah yang membuat kita salah tingkah.","jalan , berasumsi maju salah tingkah ."
