text_asli,removed_noise,removed_alay,removed_stopwords
semoga psbb berhasil maksimal karena sepertinya lockdown ngga mungkin di indonesia ini.,semoga psbb berhasil maksimal karena sepertinya ngga mungkin di ini.,semoga psbb berhasil maksimal karena sepertinya enggak mungkin di ini.,semoga psbb berhasil maksimal .
"rt @tamarmd: amunisi lockdown telah tiba, beserta sisirnya tentu. thanks to @mizanstore @na_dirs @maman1965 https://t.co/ilmz2nezca","amunisi telah tiba, beserta sisirnya tentu. thanks to","amunisi telah tiba, beserta sisirnya tentu. thanks tapi","amunisi , beserta sisirnya . thanks"
"rt @arh1924_new: lockdown tdk, 
tes virus massal jg tdk,
rezim jamin keb pokok jg tdk,
jmlh real kasus tdk jelas,

akibatnya:
org2 mulai bo…","tdk, tes virus massal jg tdk,
rezim jamin keb pokok jg tdk,
jmlh real kasus tdk jelas,

akibatnya:
org2 mulai bo…","tdk, tes virus massal juga tdk,
rezim jamin keb pokok juga tdk,
jmlh real kasus tidak jelas,

akibatnya:
org2 mulai bo…",", tes virus massal , 
 rezim jamin keb pokok , 
 jmlh real , 

 akibatnya : 
 org2 bo …"
lockdown tiga hari nasional merupakan informasi bohong https://t.co/y1v1qweamp,tiga hari nasional merupakan informasi bohong,tiga hari nasional merupakan informasi bohong,nasional informasi bohong
@ardiarindu kunci motorku sampe di jaluk grgr enek info kon lockdown 3 dino iku. pdhl dino iki aku kerjo,kunci motorku sampe di jaluk grgr enek info kon 3 dino iku. pdhl dino iki aku kerjo,kunci motorku sampai di jaluk gara-gara enek info kon 3 dino iku. padahal dino iki aku kerjo,kunci motorku jaluk gara-gara enek info kon 3 dino iku . dino iki kerjo
"@detikcom masuk akal... lah negara udah lockdown sebelum virusnya nongol. kaga ada carriernya kalik 🤗
emangnya indonesia, yang udah rame kasus aja cina2 masih bebas masuk 😅","masuk akal... lah negara udah sebelum virusnya nongol. kaga ada carriernya kalik 🤗
emangnya indonesia, yang udah rame kasus aja cina2 masih bebas masuk 😅","masuk akal... lah negara sudah sebelum virusnya nongol. kagak ada carriernya kali 🤗
emangnya indonesia, yang sudah rame kasus saja cina2 masih bebas masuk 😅","masuk akal ... negara virusnya nongol . carriernya kali 🤗 
 emangnya , rame cina2 bebas masuk 😅"
@geiszchalifah bodoh bodoh.. kalau lu baca history nya.. permintaan lockdown udah sejak januari oleh gub dki.. cuma si nganu sama si lahat nahan karena ada jadwal masukin wna china..,bodoh bodoh.. kalau lu baca history nya.. permintaan udah sejak januari oleh gub dki.. cuma si nganu sama si lahat nahan karena ada jadwal masukin wna china..,bodoh bodoh.. kalau lu baca history nya.. permintaan sudah sejak januari oleh gub dki.. cuma sih nganu sama sih lahat menahan karena ada jadwal memasuki wna china..,bodoh bodoh .. baca history .. permintaan januari gub dki .. nganu lahat menahan jadwal memasuki wna china ..
"@qorygore udah berapa hr lockdown,  perut udah buncit aja https://t.co/vcwwndj6xs","udah berapa hr lockdown, perut udah buncit aja","sudah berapa hari lockdown, perut sudah buncit saja",", perut buncit"
"*langgar aturan lockdown, 379 wni jemaah tablig masuk daftar hitam di india.
=harus menerima kenyataan karena tidak disiplin mengikuti aturan,-
#langgaraturan #lockdown #india #wni #rafans https://t.co/bdrq6r2th7","*langgar aturan lockdown, 379 wni jemaah tablig masuk daftar hitam di india.
=harus menerima kenyataan karena tidak disiplin mengikuti aturan,-
#langgaraturan #lockdown #india #wni #rafans","*langgar aturan lockdown, 379 wni jemaah tablig masuk daftar hitam di india.
=harus menerima kenyataan karena tidak disiplin mengikuti aturan,-
#langgaraturan #lockdown #india #wni #rafans","* langgar aturan , 379 wni jemaah tablig masuk daftar hitam india . 
 = menerima kenyataan disiplin mengikuti aturan , - 
 #langgaraturan #lockdown #india #wni #rafans"
cukop lah sekali kita lockdown jangan sampai berkali2.,cukop lah sekali kita jangan sampai berkali2.,cukop lah sekali kita jangan sampai berkali2.,cukop berkali2 .
@weekdies gara gara lockdown otak jadi gini amat @afrizalgita,gara gara otak jadi gini amat,gara gara otak jadi begini amat,gara gara otak
"rt @khofifahip: 154 warga jatim yg tinggal  di malaysia, 108 diantaranya pekerja migran indonesia (pmi) telah tiba di jawa timur kemarin (7…","154 warga jatim yg tinggal di malaysia, 108 diantaranya pekerja migran (pmi) telah tiba di jawa timur kemarin (7…","154 warga jatim yang tinggal di malaysia, 108 diantaranya pekerja migran (pmi) telah tiba di jawa timur kemarin (7…","154 warga jatim tinggal malaysia , 108 pekerja migran ( pmi ) jawa timur kemarin ( 7 …"
ini yg ngomong lockdown 3 hari berturut2 bener apa gak si ?? kok katanya hoax tapi ada yg teriak2 depan rumah katanya harus di rumah aja 3 hari -_-,ini yg ngomong 3 hari berturut2 bener apa gak si ?? kok katanya hoax tapi ada yg teriak2 depan rumah katanya harus di rumah aja 3 hari -_-,ini yang mengomong 3 hari berturut2 benar apa enggak sih ?? kok katanya hoax tapi ada yang teriak2 depan rumah katanya harus di rumah saja 3 hari -_-,mengomong 3 berturut2 ? ? hoax teriak2 rumah rumah 3 -_-
rt @detikcom: inggris menerapkan sistem lockdown dan setiap warganya harus berada di rumah. tapi pria ini malah berpergian sejauh 200 km ha…,inggris menerapkan sistem dan setiap warganya harus berada di rumah. tapi pria ini malah berpergian sejauh 200 km ha…,inggris menerapkan sistem dan setiap warganya harus berada di rumah. tapi pria ini malah berpergian sejauh 200 kamu ha…,inggris menerapkan sistem warganya rumah . pria berpergian 200 ha …
"nih ya w bilangin. klean² yg bilang anti lockdown atau apalah, klo klean kena korona bodo amat tapi jan nularin tu koron k orng lain.
klean mati ajah d bungkus rapa lastik dan orng² nyentuh mayat klean ajah takut.
paham kan!!
#dirumahaja","nih ya w bilangin. klean² yg bilang anti atau apalah, klo klean kena korona bodo amat tapi jan nularin tu koron k orng lain.
klean mati ajah d bungkus rapa lastik dan orng² nyentuh mayat klean ajah takut.
paham kan!!
#dirumahaja","nih ya gue bilangin. klean² yang bilang anti atau apalah, kalo klean kena korona bodo amat tapi jangan nularin itu koron ke orang lain.
klean mati saja di bungkus rapa lastik dan orng² nyentuh mayat klean saja takut.
paham kan!!
#dirumahaja","bilangin . klean² bilang anti apalah , klean kena korona bodo nularin koron orang . 
 klean mati bungkus rapa lastik orng² nyentuh mayat klean takut . 
 paham ! ! 
 #dirumahaja"
