text_asli,removed_noise,removed_alay,removed_stopwords,label
"@chatibbasri terima kasih, pak. saya senang membaca tulisan bapak yang selalu bijak dan mencerahkan. 

mohon izin, untuk istilah new normal:  https://t.co/7uvushhxxb:","terima kasih, pak. saya senang membaca tulisan bapak yang selalu bijak dan mencerahkan. mohon izin, untuk istilah normal:","terima kasih, pak. saya senang membaca tulisan bapak yang selalu bijak dan mencerahkan. mohon izin, untuk istilah normal:","terima kasih , . senang membaca tulisan bijak mencerahkan . mohon izin , istilah :",positif
"agar new normal berjalan dengan baik dan perekonomian papua pulih kembali, pemerintah kabupaten intan jaya, papua, terus mengingatkan warganya untuk mematuhi protokol kesehatan di tengah pandemi covid-19. #papuaadalahmerahputih #papua opm https://t.co/cguxhupciw","agar berjalan dengan baik dan perekonomian papua pulih kembali, pemerintah kabupaten intan jaya, papua, terus mengingatkan warganya untuk mematuhi protokol kesehatan di tengah pandemi covid-19. #papuaadalahmerahputih #papua opm","agar berjalan dengan baik dan perekonomian papua pulih kembali, pemerintah kabupaten intan jaya, papua, terus mengingatkan warganya untuk mematuhi protokol kesehatan di tengah pandemi covid-19. #papuaadalahmerahputih #papua opm","berjalan perekonomian papua pulih , pemerintah kabupaten intan jaya , papua , warganya mematuhi protokol kesehatan pandemi covid - 19 . #papuaadalahmerahputih #papua opm",positif
sosialisasi dan promosi pon papua tetap dilakukan dengan protokol new normal. #papuaadalahmerahputih #papua opm https://t.co/k5fkoi2iyk,sosialisasi dan promosi pon papua tetap dilakukan dengan protokol normal. #papuaadalahmerahputih #papua opm,sosialisasi dan promosi pon papua tetap dilakukan dengan protokol normal. #papuaadalahmerahputih #papua opm,sosialisasi promosi pon papua protokol . #papuaadalahmerahputih #papua opm,positif
"misal seorang drg di puskesmas di masa new normal harus kerja dengan waktu sbb:
konsultasi 10""
pasang rubber dam 5""
prep dan tambal gic 40""
cuci dan sterilisasi alat &amp; ruangan minimal kan 30""

maka berapa pasien yang bisa dikerjakan selama working hours (7-16 dgn istirahat 1jam)","misal seorang drg di puskesmas di masa harus kerja dengan waktu sbb:
konsultasi 10""
pasang rubber dam 5""
prep dan tambal gic 40""
cuci dan sterilisasi alat &amp; ruangan minimal kan 30""

maka berapa pasien yang bisa dikerjakan selama working hours (7-16 dgn istirahat 1jam)","misal seorang drg di puskesmas di masa harus kerja dengan waktu sbb:
konsultasi 10""
pasang rubber dam 5""
prep dan tambal gic 40""
cuci dan sterilisasi alat &amp; ruangan minimal kan 30""

maka berapa pasien yang bisa dikerjakan selama working hours (7-16 dengan istirahat 1jam)","drg puskesmas kerja sbb : 
 konsultasi 10 "" 
 pasang rubber dam 5 "" 
 prep tambal gic 40 "" 
 cuci sterilisasi alat & amp ; ruangan minimal 30 "" 

 pasien working hours ( 7 - 16 istirahat 1jam )",netral
@erwinalvianp yongits ditunggu psbb dah kelar nih waktunya new normal,yongits ditunggu psbb dah kelar nih waktunya,yongits ditunggu psbb deh kelar nih waktunya,yongits ditunggu psbb deh kelar,netral
"menuju era new normal ni, kalau kamu gimana","menuju era ni, kalau kamu gimana","menuju era ni, kalau kamu bagaimana","era ,",netral
new normal di tengah gemerlap kelab malam belanda https://t.co/oa0srgxjff https://t.co/afu5eggwyh,di tengah gemerlap kelab malam belanda,di tengah gemerlap kelab malam belanda,gemerlap kelab malam belanda,netral
"pemprov dki telah mengizinkan beragam tempat untuk buka kembali di masa transisi. sebelum dibuka perpusnas siapkan protokol kesehatan menghadapi new normal. #perpusnas #newnormal 

via @detiktravel https://t.co/3h3frkhfry",pemprov dki telah mengizinkan beragam tempat untuk buka kembali di masa transisi. sebelum dibuka perpusnas siapkan protokol kesehatan menghadapi normal. #perpusnas #newnormal via,pemprov dki telah mengizinkan beragam tempat untuk buka kembali di masa transisi. sebelum dibuka perpusnas siapkan protokol kesehatan menghadapi normal. #perpusnas #newnormal via,pemprov dki mengizinkan beragam buka transisi . dibuka perpusnas siapkan protokol kesehatan menghadapi . #perpusnas #newnormal via,positif
direktur sucipto prayitno dan sevp hadir virtual “welcoming indonesia’s new normal” https://t.co/os7mnh19md @ptpn4_official @holding_ptpn,direktur sucipto prayitno dan sevp hadir virtual “welcoming indonesia’s normal”,direktur sucipto prayitno dan sevp hadir virtual “welcoming indonesia’s normal”,direktur sucipto prayitno sevp hadir virtual “ welcoming indonesia ’ ”,positif
"gw tidak terlalu yakin dg new normal untuk masyarakat yg ngantri aja belum bisa, buang sampah masih sembarangan, lampu merah diterjang, pakai helm karena takut polisi.

new normal hanya jadi jargon saja, di lapangan nol. https://t.co/lijpv5vqym","gw tidak terlalu yakin dg untuk masyarakat yg ngantri aja belum bisa, buang sampah masih sembarangan, lampu merah diterjang, pakai helm karena takut polisi.

new hanya jadi jargon saja, di lapangan nol.","gue tidak terlalu yakin dengan untuk masyarakat yang mengantri saja belum bisa, buang sampah masih sembarangan, lampu merah diterjang, pakai helm karena takut polisi.

new hanya jadi jargon saja, di lapangan nol.","masyarakat mengantri , buang sampah sembarangan , lampu merah diterjang , pakai helm takut polisi . 

 jargon , lapangan nol .",negatif
