text_asli,removed_noise,removed_alay,removed_stopwords,label
"kata start new normal, tiba-tiba maskapai penerbangan banyak yang closed. gimana sihhhhh?!","kata start normal, tiba-tiba maskapai penerbangan banyak yang closed. gimana sihhhhh?!","kata start normal, tiba-tiba maskapai penerbangan banyak yang closed. bagaimana sihhhhh?!","start , maskapai penerbangan closed . sihhhhh ? !",negatif
"@mhrdimas @jawafess siyapp.... ben new normal sek, wkwkwkkk","siyapp.... ben sek, wkwkwkkk","siyapp.... ben sek, wkwkwkkk","siyapp .... ben sek , wkwkwkkk",netral
"jelang penerapan new normal, dirbinmas himbau pengelola pasar rau siapkan prosedur https://t.co/7gzzr6c8vi","jelang penerapan normal, dirbinmas himbau pengelola pasar rau siapkan prosedur","jelang penerapan normal, dirbinmas himbau pengelola pasar rau siapkan prosedur","jelang penerapan , dirbinmas himbau pengelola pasar rau siapkan    prosedur",netral
"prosedur standar tatanan baru        new normal

#tatakehidupanbaru","prosedur standar tatanan baru normal

#tatakehidupanbaru","prosedur standar tatanan baru normal

#tatakehidupanbaru","prosedur standar tatanan 

 #tatakehidupanbaru",netral
kementerian pppa mengingatkan agar hak anak tetap dipenuhi selama new normal. https://t.co/c2aehjh55r,kementerian pppa mengingatkan agar hak anak tetap dipenuhi selama normal.,kementerian pppa mengingatkan agar hak anak tetap dipenuhi selama normal.,kementerian pppa hak anak dipenuhi .,netral
06.56 #beritasonora - dinas pariwisata sumatera barat menggelar simulasi kedatangan wisatawan ke provinsi itu dengan menjalankan protokol kesehatan. https://t.co/8p3pog7aik,06.56 #beritasonora - dinas pariwisata sumatera barat menggelar simulasi kedatangan wisatawan ke provinsi itu dengan menjalankan protokol kesehatan.,06.56 #beritasonora - dinas pariwisata sumatera barat menggelar simulasi kedatangan wisatawan ke provinsi itu dengan menjalankan protokol kesehatan.,06.56 #beritasonora - dinas pariwisata sumatera barat menggelar simulasi kedatangan wisatawan provinsi menjalankan protokol kesehatan .,netral
"selamat pagi penganggur sukses
sdh brp utangmu hari ini?
siayap sambut new normal ?
solusinya
dgn out bon
out =keluar
bon = utang
new normal = keluar cari utangan.

hlah twet ramutu...jmbt!😥 https://t.co/dskct7pumz","selamat pagi penganggur sukses
sdh brp utangmu hari ini?
siayap sambut ?
solusinya
dgn out bon
out =keluar
bon = utang
new = keluar cari utangan.

hlah twet ramutu...jmbt!😥","selamat pagi penganggur sukses
sdh berapa utangmu hari ini?
siayap sambut ?
solusinya
dgn out bon
out =keluar
bon = utang
new = keluar cari utangan.

hlah twet ramutu...jmbt!😥","selamat pagi penganggur sukses 
 sdh utangmu ? 
 siayap sambut ? 
 solusinya 
 out bon 
 out = 
 bon = utang 
 = cari utangan . 

 hlah twet ramutu ... jmbt ! 😥",negatif
kapolres tubaba siapkan skenario menjelang penerapan new normal https://t.co/avcmgdnw8u https://t.co/ntwnrathst,kapolres tubaba siapkan skenario menjelang penerapan,kapolres tubaba siapkan skenario menjelang penerapan,kapolres tubaba siapkan skenario menjelang penerapan,netral
gw bisa terima new normal dg berusaha seengganya jaga diri sendiri aja dulu tapi buat terima pernyataan 'korona itu ga ada' kayaknya ngga bisa.,gw bisa terima dg berusaha seengganya jaga diri sendiri aja dulu tapi buat terima pernyataan 'korona itu ga ada' kayaknya ngga bisa.,gue bisa terima dengan berusaha seengganya jaga diri sendiri saja dulu tapi buat terima pernyataan 'korona itu enggak ada' kayaknya enggak bisa.,terima berusaha seengganya jaga terima pernyataan ' korona ' kayaknya .,negatif
"""kampung siaga covid-19 merupakan role model yang diaplikasikan dimana saja dengan memberdayakan potensi masyarakat dan solidaritas sosial.  ini menjadi kekuatan besar bagi kita bersama-sama membangun komitmen serta mendisiplinkan masyarakat menghadapi new normal."" kapolda jateng https://t.co/mktrlq3tsx","""kampung siaga covid-19 merupakan role model yang diaplikasikan dimana saja dengan memberdayakan potensi masyarakat dan solidaritas sosial. ini menjadi kekuatan besar bagi kita bersama-sama membangun komitmen serta mendisiplinkan masyarakat menghadapi normal."" kapolda jateng","""kampung siaga covid-19 merupakan role model yang diaplikasikan dimana saja dengan memberdayakan potensi masyarakat dan solidaritas sosial. ini menjadi kekuatan besar bagi kita bersama-sama membangun komitmen serta mendisiplinkan masyarakat menghadapi normal."" kapolda jateng",""" kampung siaga covid - 19 role model diaplikasikan dimana memberdayakan potensi masyarakat solidaritas sosial . kekuatan membangun komitmen mendisiplinkan masyarakat menghadapi . "" kapolda jateng",netral
